Np,probka,vpp,dt,f,jakość,Uwagi
1,Bcc_outside,4.88,11.4,125,3,
2,Ecc_center,19.6,20.8,200,5,Przebieg sinusoidalny gasnący.
3,Ecfm_center,19.4,20.8,200,4,Przebieg nieokresowy.
4,Fcc_center,15.8,41,100,4,
5,Ecs_center,14.7,50,200,4,
